freq,album,artista,ano,estilo_wikipedia,ranking_100_RS,artista_sexo,artista_nascimento,artista_ind_dupla_grupo,artista_estado,artista_regiao,youtube,wikipedia
1,doce de coco,jacob_do_bandolim;,1951,choro;samba-canção;,NA,masculino,1918,individual,rio,sudeste,https://www.youtube.com/watch?v=n_8bv513PJo&list=OLAK5uy_kjJogO2VrCBvJad7jDXTouJGndnJ_pIBA,https://pt.wikipedia.org/wiki/Jacob_do_Bandolim
2,chega de saudade,joão_gilberto;,1959,bossa nova;samba ;,4,masculino,1931,individual,bahia,nordeste,https://www.youtube.com/watch?v=q0saxQqMqOQ&list=OLAK5uy_kO5mGMvOC0uOriBOFX1fGd6XShwUqHVgg,https://pt.wikipedia.org/wiki/Chega_de_Saudade_(%C3%A1lbum)
1,samba esquema novo,jorge_ben_jor;,1963,sambalanço;bossa nova;samba jazz;,15,masculino,1939,individual,rio,sudeste,https://www.youtube.com/watch?v=hg0XftC43Zo&list=PLVnkoLiLMTm4nHQm47nAu-i3LY5_hpxkO,https://pt.wikipedia.org/wiki/Samba_Esquema_Novo
1,samba na madrugada,paulinho_da_viola;elton_medeiros;,1966,samba;choro;,NA,masculino,NA,colaboração,rio,sudeste,https://www.youtube.com/watch?v=mGg2IwuvvYg&list=PLBV5JUlrJAImg9HIdHF6E6g3V5408dz_O,https://pt.wikipedia.org/wiki/Paulinho_da_Viola
1,os afro-sambas,baden_powell;vinícius_de_moraes;,1966,samba;mpb;,29,masculino,NA,colaboração,rio,sudeste,https://www.youtube.com/watch?v=IxM04Y4XSFs&t=705s,https://pt.wikipedia.org/wiki/Os_Afro-sambas_(1966)
1,o inimitável,roberto_carlos;,1968,rock and roll;soul;funk;música romântica;mpb;,82,masculino,1941,individual,espírito santo,sudeste,https://www.youtube.com/watch?v=Yz-Kb1bQafw&list=PLqpnl7ZXISsy8Lp0BBjxlCZxAm9eCoH14,https://pt.wikipedia.org/wiki/O_Inimit%C3%A1vel
1,frevo rasgado,gilberto_gil;,1968,tropicália;mpb;rock psicodélico;,78,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=8WlId3fzFvs&list=PLsYFv2PLHYDw1xBARpWxmK0Wkox_CJyhU,https://pt.wikipedia.org/wiki/Gilberto_Gil_(%C3%A1lbum_de_1968)
1,caetano veloso,caetano_veloso;,1968,tropicália;MPB;rock psicodélico;,37,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=1Z1qNsm-NUk&list=PLVnkoLiLMTm6RIArBGspMGPN7rCvnMlhm,https://pt.wikipedia.org/wiki/Caetano_Veloso_(%C3%A1lbum_de_1968)
1,tropicália et panis et circences,caetano_veloso; gilberto_gil;gal_costa;tom_zé ; os_mutantes ; nara_leão ; torquato_neto ; capinam ; rogério_duprat;,1968,tropicália;mpb;,2,misto,NA,colaboração,vários,vários,https://www.youtube.com/watch?v=QWcjFOzB9qI&list=PLUHPt54xYw0vkgEiBRoST4kG4mFLpWDvt,https://pt.wikipedia.org/wiki/Tropicalia_ou_Panis_et_Circencis
1,só morto,jards_macalé;,1969, ,NA,masculino,1943,individual,rio,sudeste,https://www.youtube.com/watch?v=6rUFvce_B80,https://pt.wikipedia.org/wiki/Jards_Macal%C3%A9
